,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
141,m1,45800000.0,10900000.0,10.10.15.248,55424,1548782473.0,1548782471.0,2.021,47.0,1444.0,udp,10.10.12.1,5204
142,m1,41400000.0,9870000.0,10.10.15.248,55424,1548782475.0,1548782473.0,4.713,95.0,1358.0,udp,10.10.12.1,5204
143,m1,37600000.0,8950000.0,10.10.15.248,55424,1548782477.0,1548782475.0,1.368,460.0,1606.0,udp,10.10.12.1,5204
144,m1,44500000.0,10600000.0,10.10.15.248,55424,1548782479.0,1548782477.0,1.785,48.0,1407.0,udp,10.10.12.1,5204
145,m1,29400000.0,7020000.0,10.10.15.248,55424,1548782481.0,1548782479.0,5.016,512.0,1410.0,udp,10.10.12.1,5204
146,m1,8320000.0,1980000.0,10.10.15.248,55424,1548782483.0,1548782481.0,12.254,653.0,907.0,udp,10.10.12.1,5204
147,m1,1080000.0,264000.0,10.10.15.248,55424,1548782485.0,1548782483.0,26.105,418.0,451.0,udp,10.10.12.1,5204
148,m1,361000.0,88000.0,10.10.15.248,55424,1548782487.0,1548782485.0,124.215,314.0,325.0,udp,10.10.12.1,5204
149,m1,819000.0,200000.0,10.10.15.248,55424,1548782489.0,1548782487.0,66.159,437.0,462.0,udp,10.10.12.1,5204
150,m1,131000.0,32000.0,10.10.15.248,55424,1548782491.0,1548782489.0,122.929,1967.0,1971.0,udp,10.10.12.1,5204
151,m1,0.0,0.0,10.10.15.248,55424,1548782493.0,1548782491.0,122.929,0.0,0.0,udp,10.10.12.1,5204
152,m1,230000.0,56000.0,10.10.15.248,55424,1548782495.0,1548782493.0,136.117,3738.0,3745.0,udp,10.10.12.1,5204
153,m1,852000.0,208000.0,10.10.15.248,55424,1548782497.0,1548782495.0,118.394,3025.0,3051.0,udp,10.10.12.1,5204
154,m1,852000.0,208000.0,10.10.15.248,55424,1548782497.0,1548782495.0,118.394,3025.0,3051.0,udp,10.10.12.1,5204
155,m1,1410000.0,344000.0,10.10.15.248,60552,1548782502.0,1548782500.0,35.717,1.0,44.0,udp,10.10.12.1,5204
156,m1,1930000.0,472000.0,10.10.15.248,60552,1548782504.0,1548782502.0,34.615,0.0,59.0,udp,10.10.12.1,5204
157,m1,1210000.0,296000.0,10.10.15.248,60552,1548782506.0,1548782504.0,56.165,2304.0,2341.0,udp,10.10.12.1,5204
158,m1,4780000.0,1140000.0,10.10.15.248,60552,1548782508.0,1548782506.0,8.647,3220.0,3366.0,udp,10.10.12.1,5204
159,m1,11200000.0,2670000.0,10.10.15.248,60552,1548782510.0,1548782508.0,10.551,988.0,1330.0,udp,10.10.12.1,5204
160,m1,43900000.0,10500000.0,10.10.15.248,60552,1548782512.0,1548782510.0,0.377,589.0,1929.0,udp,10.10.12.1,5204
