senderId,receiverId,systime,receiverDist,receiverX,receiverY,receiverAlt,receiverSpeed,channelFreq,channelBw,channelUtil,isInLap,isIperfOn,rssiMean,dataRateMean,nBytesReceived
ap1,w2,1548779136,76.92549166851084,76.65793808370513,-6.410824415722686,122.9,3.858,2437,20,0.0,0.0,1.0,-63.27160500000001,48.4953,1293233
ap1,w2,1548779137,79.7353655845564,79.52296706859624,-5.816609304345543,123.1,3.498,2437,20,0.0,1.0,1.0,-76.5,43.159968,35115
ap1,w2,1548779138,79.7353655845564,76.85388078031556,-4.750244522121166,123.19999999999999,3.4210000000000003,2437,20,0.0,1.0,1.0,-100.0,25.81945,23712
ap1,w2,1548779139,74.27618060519585,74.1847944920349,-3.683879739896789,123.3,3.344,2437,20,0.0,1.0,1.0,-72.0,28.676273,158897
ap1,w2,1548779140,70.04174083749726,69.88721070014385,-4.650525105639892,124.7,3.395,2437,20,0.0,1.0,0.0,-74.25,46.453339,108045
ap1,w2,1548779141,65.81471899011132,65.58125523111883,-5.539002070166353,124.2,3.447,2437,20,33.83984563434636,1.0,1.0,-100.0,0.0,0
ap1,w2,1548779142,65.81471899011132,60.647598884895274,-5.7754327158666285,123.85,3.987,2437,20,67.67969126869272,1.0,1.0,-100.0,21.6667,3134
ap1,w2,1548779143,56.03733121783957,55.71394253867172,-6.011863361566904,123.5,4.527,2437,20,77.64895561373727,1.0,1.0,-71.2,27.575772999999998,14567
ap1,w2,1548779144,50.58553195769142,50.28230995763769,-5.530632844037255,122.0,4.579,2437,20,72.66432344121499,1.0,1.0,-71.0,36.562503,46094
ap1,w2,1548779145,45.262359813904794,44.94416510453895,-5.357724636460637,122.2,4.681,2437,20,82.63358778625954,1.0,1.0,-71.285714,43.664321,141662
ap1,w2,1548779146,39.9271854099447,39.59622820074131,-5.130332777170495,124.3,4.7330000000000005,2437,20,83.38330220666896,1.0,1.0,-65.875,33.440395,138272
ap1,w2,1548779147,39.9271854099447,33.2641947106561,-4.503352327020506,124.19999999999999,4.99,2437,20,84.13301662707838,1.0,1.0,-67.0,39.131327,61498
ap1,w2,1548779148,27.20968676800546,26.932161220570894,-3.876371876870517,124.1,5.247000000000001,2437,20,84.13151787376863,1.0,1.0,-66.11764699999999,56.85355,210651
ap1,w2,1548779149,22.232554545012864,22.01800106498489,-3.0812957023253786,124.3,5.35,2437,20,84.13001912045888,1.0,1.0,-63.352941,57.551278,420242
