gpstime,lat,lon,speed,alt,ap1Dist,ap1DeltaX,ap1DeltaY,ap2Dist,ap2DeltaX,ap2DeltaY,ap3Dist,ap3DeltaX,ap3DeltaY,ap4Dist,ap4DeltaX,ap4DeltaY
1548782530,41.1788295,-8.596222617,4.4239999999999995,114.3,76.28490100875652,-71.69179960537691,26.07005077149102,76.28490100875652,-71.69179960537691,26.07005077149102,28.428390770386244,-17.626911160499386,22.303904153871386,28.428390770386244,-17.626911160499386,22.303904153871386
1548782530,41.1788295,-8.596222617,4.4239999999999995,114.3,76.28490100875652,-71.69179960537691,26.07005077149102,76.28490100875652,-71.69179960537691,26.07005077149102,28.428390770386244,-17.626911160499386,22.303904153871386,28.428390770386244,-17.626911160499386,22.303904153871386
1548782531,41.178868233,-8.596232132999999,4.4239999999999995,114.0,78.1903916061519,-72.48816769535392,29.311683441955367,78.1903916061519,-72.48816769535392,29.311683441955367,31.495943069301706,-18.423311222757963,25.545536824351938,31.495943069301706,-18.423311222757963,25.545536824351938
1548782532,41.178852383,-8.596261833,3.395,114.5,80.0267056241202,-74.97383016878076,27.98516938780358,80.0267056241202,-74.97383016878076,27.98516938780358,31.996056466950805,-20.908960612780803,24.219022770193273,31.996056466950805,-20.908960612780803,24.219022770193273
1548782533,41.1788735,-8.596291283,3.395,114.4,82.95763117685588,-77.43852719616548,29.75248775700574,82.95763117685588,-77.43852719616548,29.75248775700574,34.95169812907641,-23.373675071293064,25.98634113940467,34.95169812907641,-23.373675071293064,25.98634113940467
1548782534,41.178748600000006,-8.596264932999999,3.55,114.2,77.6694895490749,-75.23339379923794,19.2993817683825,77.6694895490749,-75.23339379923794,19.2993817683825,26.256150817510985,-21.16843857533143,15.5332351507356,26.256150817510985,-21.16843857533143,15.5332351507356
1548782535,41.178692616999996,-8.59625555,3.55,115.5,75.86907426416649,-74.44817651196057,14.614057182689075,75.86907426416649,-74.44817651196057,14.614057182689075,23.090080381932726,-20.383175076825456,10.847910565028497,23.090080381932726,-20.383175076825456,10.847910565028497
1548782536,41.17866055,-8.596249833,3.55,115.1,74.92574607157243,-73.9697458332826,11.930306678987755,74.92574607157243,-73.9697458332826,11.930306678987755,21.513993013861963,-19.90471792843023,8.16416006132126,21.513993013861963,-19.90471792843023,8.16416006132126
1548782537,41.178628499999995,-8.596244117000001,3.55,114.7,74.07104586038464,-73.49139835919128,9.247977625752997,74.07104586038464,-73.49139835919128,9.247977625752997,20.184986741428816,-19.426343998671292,5.481831008081979,20.184986741428816,-19.426343998671292,5.481831008081979
1548782538,41.1785748,-8.59617195,4.167,113.8,67.61898332833817,-67.45165059908963,4.753713525006971,67.61898332833817,-67.45165059908963,4.753713525006971,13.422931601205844,-13.386551911893406,0.9875669073315001,13.422931601205844,-13.386551911893406,0.9875669073315001
