,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
169,m1,0.0,0.0,10.10.15.248,48641,1548779891.0,1548779889.0,70.543,0.0,0.0,udp,10.10.12.1,5204
170,m1,0.0,0.0,10.10.15.248,48641,1548779893.0,1548779891.0,70.543,0.0,0.0,udp,10.10.12.1,5204
171,m1,0.0,0.0,10.10.15.248,48641,1548779893.0,1548779891.0,70.543,0.0,0.0,udp,10.10.12.1,5204
172,m1,5470000.0,1300000.0,10.10.15.248,33858,1548779898.0,1548779896.0,18.901,1.0,168.0,udp,10.10.12.1,5204
173,m1,4550000.0,1090000.0,10.10.15.248,33858,1548779900.0,1548779898.0,20.018,1248.0,1387.0,udp,10.10.12.1,5204
174,m1,4420000.0,1050000.0,10.10.15.248,33858,1548779902.0,1548779900.0,18.816,1823.0,1958.0,udp,10.10.12.1,5204
175,m1,2160000.0,528000.0,10.10.15.248,33858,1548779904.0,1548779902.0,46.222,542.0,608.0,udp,10.10.12.1,5204
176,m1,4820000.0,1150000.0,10.10.15.248,33858,1548779906.0,1548779904.0,7.214,2901.0,3048.0,udp,10.10.12.1,5204
177,m1,34000000.0,8109999.999999999,10.10.15.248,33858,1548779908.0,1548779906.0,2.224,672.0,1710.0,udp,10.10.12.1,5204
178,m1,39800000.0,9480000.0,10.10.15.248,33858,1548779910.0,1548779908.0,3.171,308.0,1522.0,udp,10.10.12.1,5204
179,m1,28400000.0,6770000.0,10.10.15.248,33858,1548779912.0,1548779910.0,1.318,822.0,1688.0,udp,10.10.12.1,5204
180,m1,53600000.0,12800000.0,10.10.15.248,33858,1548779914.0,1548779912.0,1.154,9.0,1644.0,udp,10.10.12.1,5204
181,m1,49700000.0,11900000.0,10.10.15.248,33858,1548779916.0,1548779914.0,0.164,8.0,1526.0,udp,10.10.12.1,5204
182,m1,48300000.0,11500000.0,10.10.15.248,33858,1548779918.0,1548779916.0,2.381,1.0,1474.0,udp,10.10.12.1,5204
183,m1,51400000.0,12300000.0,10.10.15.248,33858,1548779920.0,1548779918.0,0.29,9.0,1578.0,udp,10.10.12.1,5204
184,m1,48800000.0,11600000.0,10.10.15.248,33858,1548779922.0,1548779920.0,1.491,7.0,1495.0,udp,10.10.12.1,5204
185,m1,47900000.0,11400000.0,10.10.15.248,33858,1548779924.0,1548779922.0,0.527,1.0,1464.0,udp,10.10.12.1,5204
186,m1,47700000.0,11400000.0,10.10.15.248,33858,1548779926.0,1548779924.0,1.302,3.0,1459.0,udp,10.10.12.1,5204
187,m1,36900000.0,8790000.0,10.10.15.248,33858,1548779928.0,1548779926.0,5.809,37.0,1162.0,udp,10.10.12.1,5204
188,m1,47200000.0,11300000.0,10.10.15.248,33858,1548779930.0,1548779928.0,1.858,281.0,1722.0,udp,10.10.12.1,5204
189,m1,22900000.0,5460000.0,10.10.15.248,33858,1548779932.0,1548779930.0,6.578,398.0,1097.0,udp,10.10.12.1,5204
190,m1,2390000.0,584000.0,10.10.15.248,33858,1548779934.0,1548779932.0,52.9,70.0,143.0,udp,10.10.12.1,5204
191,m1,98200.0,24000.0,10.10.15.248,33858,1548779936.0,1548779934.0,82.951,0.0,3.0,udp,10.10.12.1,5204
192,m1,0.0,0.0,10.10.15.248,33858,1548779938.0,1548779936.0,82.951,0.0,0.0,udp,10.10.12.1,5204
